Code	Mouse_ID	Family	Sex	Treatment	Treatment_for_plotting	Diaphragm_Mass_mg	Weight_g	Diaphragm_perc_body_mass	VO2max_mL_per_g_per_min	Arteria_O2_perc	Hear_rate_bpm	Breathing_frequency_breath_per_min	Tidal volume_ul_per_g	Total _ventilation_ml_per_g_per_min	Air_convection_requirement_ml_air_per_ml_O2	Pulmonary_extraction_perc	Breathing_frequency_breath_per_min_8kPa	Tidal volume_ul_per_g_8kPa	Total _ventilation_ml_per_g_per_min_8kPa	Breathing_frequency_breath_per_min_12kPa	Tidal volume_ul_per_g_12kPa	Total _ventilation_ml_per_g_per_min_12kPa	Breathing_frequency_breath_per_min_21kPa	Tidal volume_ul_per_g_21kPa	Total _ventilation_ml_per_g_per_min_21kPa
N3	ME_F2_64_ai	64	M	Control	1.C	82.5	17.53	0.470621791	0.15680519	89.506	610.95	396.0038906	15.94379537	6.313804995	40.2652807	20.64777432	257.1787115	12.37616418	3.182885958	181.3753021	15.34408808	2.783038611	117.4863812	16.41299935	1.928303899
N4	ME_F2_64_aj	64	F	Control	1.C	68.7	19.96	0.344188377	0.183757042	86.828	523.5	337.7583351	16.53363449	5.584372858	30.38998017	27.37056009	151.4817973	12.42296882	1.881853645	129.6646085	18.88746895	2.449036268	117.2745683	23.45140424	2.750253307
N5	ME_F2_64_ak	64	F	Control	1.C	67	17.38	0.385500575	0.201288797	84.95	612.46	411.5114768	16.3526529	6.729304346	33.4310922	24.89195598	177.9784925	10.26804558	1.827491272	160.9655161	18.53041698	2.982758133	163.4859894	20.13750456	3.292199857
N6	ME_F2_64_al	64	F	Control	1.C	70.3	19.03	0.36941671	0.157603343	76.264	571.14	247.5869921	20.54026408	5.0855022	32.26773048	25.74960282	211.0544497	10.42677727	2.200617738	153.76564	16.27250192	2.502151671	136.7845349	18.23684996	2.494519041
N7	ME_F2_209_c	209	M	Control	1.C	70.6	17.03	0.414562537	0.171003455	86.748	453.2727273	342.8323386	13.72485247	4.70532327	27.51595448	30.18411495	228.0053196	9.676074373	2.20619643	181.6851458	12.42432401	2.257315119	125.4876031	14.31313207	1.796120636
N8	ME_F2_209_d	209	F	Control	1.C	64.6	21.58	0.299351251	0.15853319	83.58989899	527.0731707	390.3129378	11.14577497	4.350340171	27.44119486	29.87803174	201.6716432	9.643665235	2.467179705	150.0690043	10.38827419	1.977644499	78.20134927	12.90289248	1.280015255
N9	ME_F2_209_2e	209	F	Control	1.C	73.1	21.26	0.343838194	0.118712127	77.79	520.04	467.2495737	7.238871753	3.382359741	28.49211636	28.81769992	285.2605027	7.27766528	1.476203558	256.7363869	8.137941801	1.485643243	202.4748387	8.180290933	1.1777479
PNH1	ME_F2_63_at	63	F	Post-natal hypoxia	3.PNH	74.8	20.42	0.366307542	0.260672799	94.83	541.8444444	437.9474426	20.4728519	8.966033134	34.39573743	24.2661972	234.4345097	11.2937339	2.647640969	141.759984	15.47038386	2.193081368	97.48766206	16.95698095	1.653096429
PNH2	ME_F2_63_aw	63	F	Post-natal hypoxia	3.PNH	76.4	18.71	0.408337787	0.193220952	91.29230769	608.7692308	459.4395914	21.10728144	9.69752076	50.188764	16.58314116	329.7891985	9.383507818	3.094579523	179.0119966	13.56987292	2.429170045	143.6574054	15.27213088	2.193954697
PNH3	ME_F2_64_ao	64	F	Post-natal hypoxia	3.PNH	63	14.74	0.427408412	0.206506165	89.706	493.24	420.0863239	31.53150567	13.24595431	64.14314233	13.07181955	301.8306859	17.4878514	5.278370182	194.1489263	25.78354977	5.005848505	97.38106013	24.62891242	2.398389601
PNH4	ME_F2_64_ap	64	F	Post-natal hypoxia	3.PNH	94.2	21.67	0.434702353	0.221255524	81.69146341	625.7682927	458.3990858	19.25805729	8.827875858	39.89900779	20.84723381	243.5247918	10.85266417	2.642892782	137.4525508	14.10908187	1.939329293	123.9957998	16.03365994	1.988106488
PNH5	ME_F2_64_aq	64	F	Post-natal hypoxia	3.PNH	69.1	21.01	0.328891004	0.158396708	92.24814815	607.95	353.6861062	19.82819044	7.012955467	44.27462902	18.93914434	209.2182589	13.20344107	2.762400952	126.4266757	16.03943899	2.027812952	130.8747328	22.95575416	3.004328191
PNH6	ME_F2_64_ar	64	M	Post-natal hypoxia	3.PNH	84.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNH7	ME_F2_209_2n	209	F	Post-natal hypoxia	3.PNH	71.1	24.02	0.296003331	0.202545743	84.471	660.989899	543.2051424	12.51937103	7.669018456	33.57555982	24.40555974	320.8960863	5.667332394	1.818624785	217.3993328	9.026273217	1.962305775	211.6369752	8.596796714	1.819400053
PNH8	ME_F2_209_o	209	M	Post-natal hypoxia	3.PNH	71.1	20.76	0.342485549	0.156383426	87.138	430.13	293.0095244	19.7514505	5.787363115	37.00752224	22.15094992	247.1084448	6.641341307	3.504475492	135.6036104	8.38575089	2.428246937	123.6166137	8.000124278	2.111802094
PNH9	ME_F2_209_2p	209	M	Post-natal hypoxia	3.PNH	61.3	20.35	0.301228501	0.153105735	94.197	648.5217391	313.0580995	11.2020004	3.494855341	22.90493527	35.75880662	255.9618933	9.301118235	2.750016159	203.3349944	9.080754086	2.132842615	206.8986451	8.511827195	2.034254154
PT1	ME_F2_63_bb	63	M	Parental transfer	NA	102.5	24.92	0.411316212	0.114676643	82.50217391	318.0434783	306.1496401	7.628432155	2.335441759	20.36545284	40.76752128	NA	NA	NA	NA	NA	NA	NA	NA	NA
PT2	ME_F2_63_bc	63	F	Parental transfer	NA	58.3	22.99	0.253588517	0.110939093	93.494	285.32	213.2637283	19.15661135	4.085410358	36.82570558	22.69448694	NA	NA	NA	NA	NA	NA	NA	NA	NA
PT3	ME_F2_63_bd	63	F	Parental transfer	NA	94.7	25.33	0.373864982	0.141521234	87.77	554.26	418.2524576	8.361789136	3.497338856	24.71246724	33.83853357	NA	NA	NA	NA	NA	NA	NA	NA	NA
PT4	ME_F2_64_ay	64	M	Parental transfer	NA	62.9	19.91	0.315921647	0.170852938	98.652	457.32	358.0005737	16.08446282	5.758246917	33.70294355	24.71354499	NA	NA	NA	NA	NA	NA	NA	NA	NA
PT5	ME_F2_64_az	64	M	Parental transfer	NA	62.2	24.72	0.251618123	0.207273545	88.2	532.9375	446.5013605	12.88998574	5.755396168	27.76715262	29.95743734	NA	NA	NA	NA	NA	NA	NA	NA	NA
PT6	ME_F2_64_ba	64	F	Parental transfer	NA	80	18.76	0.426439232	0.134673571	91.86666667	544.7333333	341.5819699	17.62191388	6.019328056	44.69568913	18.87320712	NA	NA	NA	NA	NA	NA	NA	NA	NA
PT7	ME_F2_64_bd	64	F	Parental transfer	NA	85	16.02	0.530586767	0.174357449	87.692	533.22	350.1239742	19.2591324	6.743083976	38.67390809	21.6386008	NA	NA	NA	NA	NA	NA	NA	NA	NA
