Gene stable ID,Gene stable ID version,Mouse gene stable ID,Mouse gene name,Chromosome/scaffold name,Gene name
ENSPEMG00000004313,ENSPEMG00000004313.2,ENSMUSG00000059187,Tafa1,3,Tafa1
ENSPEMG00000018647,ENSPEMG00000018647.2,ENSMUSG00000034413,Neurl1b,8,Neurl1b
ENSPEMG00000028602,ENSPEMG00000028602.1,ENSMUSG00000020955,Ap4s1,14,Ap4s1
ENSPEMG00000026466,ENSPEMG00000026466.1,ENSMUSG00000110519,Olfr839-ps1,7,Olfr839-ps1
ENSPEMG00000026674,ENSPEMG00000026674.1,,,22,
ENSPEMG00000005892,ENSPEMG00000005892.2,,,1,
ENSPEMG00000028743,ENSPEMG00000028743.1,,,9,
ENSPEMG00000020395,ENSPEMG00000020395.2,ENSMUSG00000040693,Slco4c1,13,Slco4c1
ENSPEMG00000022034,ENSPEMG00000022034.2,ENSMUSG00000036880,Acaa2,19,Acaa2
ENSPEMG00000009028,ENSPEMG00000009028.2,ENSMUSG00000023873,1700010I14Rik,16,1700010I14Rik
ENSPEMG00000017430,ENSPEMG00000017430.2,ENSMUSG00000029195,Klb,10,Klb
ENSPEMG00000024479,ENSPEMG00000024479.1,,,1,
ENSPEMG00000024111,ENSPEMG00000024111.2,ENSMUSG00000037697,Ddhd1,9,Ddhd1
ENSPEMG00000010146,ENSPEMG00000010146.2,ENSMUSG00000048391,Olfr843,7,Olfr843
ENSPEMG00000002258,ENSPEMG00000002258.2,,,15,5S_rRNA
ENSPEMG00000019971,ENSPEMG00000019971.2,ENSMUSG00000026499,Acbd3,11,Acbd3
ENSPEMG00000024199,ENSPEMG00000024199.2,ENSMUSG00000047495,Dlgap2,17,Dlgap2
ENSPEMG00000025136,ENSPEMG00000025136.1,ENSMUSG00000053182,Gm609,12,
ENSPEMG00000025136,ENSPEMG00000025136.1,ENSMUSG00000116542,Gm17783,12,
ENSPEMG00000015903,ENSPEMG00000015903.2,ENSMUSG00000022404,Slc25a17,20,Slc25a17
ENSPEMG00000024952,ENSPEMG00000024952.1,ENSMUSG00000027833,Shox2,6,Shox2
ENSPEMG00000011262,ENSPEMG00000011262.2,ENSMUSG00000047867,Gimap6,3,Gimap6
ENSPEMG00000011322,ENSPEMG00000011322.2,ENSMUSG00000036712,Cyld,5,Cyld
ENSPEMG00000022553,ENSPEMG00000022553.2,ENSMUSG00000030854,Ptpn5,1,Ptpn5
ENSPEMG00000000122,ENSPEMG00000000122.2,ENSMUSG00000026124,Cfc1,21,Cfc1
ENSPEMG00000002552,ENSPEMG00000002552.2,,,15,U1
ENSPEMG00000024506,ENSPEMG00000024506.1,,,1,
ENSPEMG00000028535,ENSPEMG00000028535.1,ENSMUSG00000078611,Gm5901,1,Gm5901
ENSPEMG00000009107,ENSPEMG00000009107.2,ENSMUSG00000052012,Olfr796,18,Olfr796
ENSPEMG00000007202,ENSPEMG00000007202.2,ENSMUSG00000024406,Pou5f1,21,
ENSPEMG00000024399,ENSPEMG00000024399.1,ENSMUSG00000061614,Olfr845,7,Olfr845
ENSPEMG00000025379,ENSPEMG00000025379.1,ENSMUSG00000032840,Spring1,23,Spring1
ENSPEMG00000012551,ENSPEMG00000012551.2,ENSMUSG00000074971,Fibin,4,Fibin
ENSPEMG00000020149,ENSPEMG00000020149.2,ENSMUSG00000034689,Spertl,9,Spertl
ENSPEMG00000025542,ENSPEMG00000025542.1,ENSMUSG00000031931,Ankrd49,1,
ENSPEMG00000013942,ENSPEMG00000013942.2,ENSMUSG00000051111,Sv2c,15,Sv2c
ENSPEMG00000025034,ENSPEMG00000025034.1,ENSMUSG00000059821,Olfr847,7,
ENSPEMG00000025034,ENSPEMG00000025034.1,ENSMUSG00000058692,Olfr846,7,
ENSPEMG00000008716,ENSPEMG00000008716.2,ENSMUSG00000062515,Fabp4,2,Fabp4
ENSPEMG00000018694,ENSPEMG00000018694.2,ENSMUSG00000020954,Strn3,14,Strn3
ENSPEMG00000009522,ENSPEMG00000009522.2,ENSMUSG00000005442,Cic,1,Cic
ENSPEMG00000025891,ENSPEMG00000025891.1,,,5,
ENSPEMG00000022587,ENSPEMG00000022587.2,,,23,
ENSPEMG00000029041,ENSPEMG00000029041.1,ENSMUSG00000043931,Gimap7,3,Gimap7
ENSPEMG00000007922,ENSPEMG00000007922.2,ENSMUSG00000054728,Phactr1,5,Phactr1
ENSPEMG00000019298,ENSPEMG00000019298.2,ENSMUSG00000041644,Slc5a12,4,Slc5a12
ENSPEMG00000014641,ENSPEMG00000014641.2,ENSMUSG00000053508,Gtsf2,22,
ENSPEMG00000028472,ENSPEMG00000028472.1,ENSMUSG00000049573,Olfr780,18,Olfr780
ENSPEMG00000029592,ENSPEMG00000029592.1,,,5,
ENSPEMG00000024295,ENSPEMG00000024295.1,ENSMUSG00000038843,Gcnt1,1,Gcnt1
ENSPEMG00000002512,ENSPEMG00000002512.2,ENSMUSG00002076100,7SK,9,7SK
ENSPEMG00000006637,ENSPEMG00000006637.2,ENSMUSG00000025037,Maoa,X,Maoa
ENSPEMG00000013918,ENSPEMG00000013918.2,ENSMUSG00000028833,Ncdn,2,Ncdn
ENSPEMG00000017322,ENSPEMG00000017322.2,ENSMUSG00000056328,Myh1,8,Myh1
ENSPEMG00000030682,ENSPEMG00000030682.1,ENSMUSG00000072878,1700123L14Rik,3,1700123L14Rik
ENSPEMG00000030448,ENSPEMG00000030448.1,,,22,
ENSPEMG00000025726,ENSPEMG00000025726.1,,,19,
ENSPEMG00000020077,ENSPEMG00000020077.2,ENSMUSG00000026125,Prss39,21,Prss39
ENSPEMG00000028905,ENSPEMG00000028905.1,ENSMUSG00000053182,Gm609,12,
ENSPEMG00000028905,ENSPEMG00000028905.1,ENSMUSG00000116542,Gm17783,12,
ENSPEMG00000017878,ENSPEMG00000017878.2,ENSMUSG00000047215,Rpl9,10,
ENSPEMG00000017878,ENSPEMG00000017878.2,ENSMUSG00000062456,Rpl9-ps6,10,
ENSPEMG00000016321,ENSPEMG00000016321.2,ENSMUSG00000044465,Fam160a2,1,Fam160a2
ENSPEMG00000028196,ENSPEMG00000028196.1,ENSMUSG00000052182,Olfr849,7,Olfr849
ENSPEMG00000009388,ENSPEMG00000009388.2,ENSMUSG00000068009,Bpifb6,4,Bpifb6
ENSPEMG00000008084,ENSPEMG00000008084.2,ENSMUSG00000027530,Fabp12,2,Fabp12
ENSPEMG00000019940,ENSPEMG00000019940.2,ENSMUSG00000060743,H3f3a,11,H3f3a
ENSPEMG00000017861,ENSPEMG00000017861.2,ENSMUSG00000058935,Tex48,2,Tex48
ENSPEMG00000025539,ENSPEMG00000025539.1,ENSMUSG00000073954,Olfr594,9,
ENSPEMG00000010026,ENSPEMG00000010026.2,ENSMUSG00000022403,St13,20,St13
ENSPEMG00000019604,ENSPEMG00000019604.2,ENSMUSG00000057440,Mpp7,5,Mpp7
ENSPEMG00000030212,ENSPEMG00000030212.1,,,13,
ENSPEMG00000030121,ENSPEMG00000030121.1,ENSMUSG00000073409,H2-Q6,21,
ENSPEMG00000030121,ENSPEMG00000030121.1,ENSMUSG00000035929,H2-Q4,21,
ENSPEMG00000030121,ENSPEMG00000030121.1,ENSMUSG00000091705,H2-Q2,21,
ENSPEMG00000030121,ENSPEMG00000030121.1,ENSMUSG00000073402,Gm8909,21,
ENSPEMG00000030121,ENSPEMG00000030121.1,ENSMUSG00000079507,H2-Q1,21,
ENSPEMG00000030121,ENSPEMG00000030121.1,ENSMUSG00000073411,H2-D1,21,
ENSPEMG00000030121,ENSPEMG00000030121.1,ENSMUSG00000054128,H2-T3,21,
ENSPEMG00000030121,ENSPEMG00000030121.1,ENSMUSG00000061232,H2-K1,21,
ENSPEMG00000030121,ENSPEMG00000030121.1,ENSMUSG00000067235,H2-Q10,21,
ENSPEMG00000030121,ENSPEMG00000030121.1,ENSMUSG00000060550,H2-Q7,21,
ENSPEMG00000028125,ENSPEMG00000028125.1,ENSMUSG00000095138,Olfr781,18,
ENSPEMG00000028125,ENSPEMG00000028125.1,ENSMUSG00000094734,Olfr799,18,
ENSPEMG00000008081,ENSPEMG00000008081.2,ENSMUSG00000090019,Gimap1,3,Gimap1
ENSPEMG00000027722,ENSPEMG00000027722.1,,,23,
ENSPEMG00000005844,ENSPEMG00000005844.2,ENSMUSG00000077598,Gm26011,3,U6
ENSPEMG00000011808,ENSPEMG00000011808.2,ENSMUSG00000068250,Amn1,3,Amn1
ENSPEMG00000019703,ENSPEMG00000019703.2,ENSMUSG00000022076,Klhl1,9,Klhl1
ENSPEMG00000009755,ENSPEMG00000009755.2,ENSMUSG00000046500,Tafa4,3,Tafa4
ENSPEMG00000014554,ENSPEMG00000014554.2,ENSMUSG00000039264,Gimap3,3,
ENSPEMG00000014554,ENSPEMG00000014554.2,ENSMUSG00000043505,Gimap5,3,
ENSPEMG00000027966,ENSPEMG00000027966.1,ENSMUSG00000049229,Olfr844,7,Olfr844
ENSPEMG00000010988,ENSPEMG00000010988.2,ENSMUSG00000034544,Rsrc1,6,
ENSPEMG00000028900,ENSPEMG00000028900.1,ENSMUSG00000050957,Insl6,19,
ENSPEMG00000027412,ENSPEMG00000027412.1,,,22,
ENSPEMG00000013375,ENSPEMG00000013375.2,ENSMUSG00000023868,Pde10a,16,Pde10a
ENSPEMG00000009671,ENSPEMG00000009671.2,ENSMUSG00000018076,Med13l,23,Med13l
ENSPEMG00000029018,ENSPEMG00000029018.1,,,11,U6
ENSPEMG00000031112,ENSPEMG00000031112.1,ENSMUSG00000024712,Rfk,1,Rfk
ENSPEMG00000021868,ENSPEMG00000021868.2,ENSMUSG00000053846,Lipg,19,Lipg
ENSPEMG00000001047,ENSPEMG00000001047.2,ENSMUSG00000038806,Sde2,11,Sde2
ENSPEMG00000024771,ENSPEMG00000024771.1,ENSMUSG00000108114,Olfr800,18,
ENSPEMG00000024771,ENSPEMG00000024771.1,ENSMUSG00000062914,Olfr777,18,
ENSPEMG00000020683,ENSPEMG00000020683.2,ENSMUSG00000057751,Megf6,2,Megf6
ENSPEMG00000025214,ENSPEMG00000025214.1,ENSMUSG00000028362,Tnfsf8,2,Tnfsf8
ENSPEMG00000017458,ENSPEMG00000017458.2,ENSMUSG00000025495,Ptdss2,1,Ptdss2
ENSPEMG00000020123,ENSPEMG00000020123.2,ENSMUSG00000026126,Ptpn18,21,Ptpn18
ENSPEMG00000009483,ENSPEMG00000009483.2,ENSMUSG00000052625,Olfr851,7,Olfr851
ENSPEMG00000024435,ENSPEMG00000024435.1,ENSMUSG00000041629,Fam104a,8,Fam104a
ENSPEMG00000010950,ENSPEMG00000010950.2,ENSMUSG00000035245,Eogt,3,Eogt
ENSPEMG00000008673,ENSPEMG00000008673.2,ENSMUSG00000022401,Xpnpep3,20,Xpnpep3
ENSPEMG00000030470,ENSPEMG00000030470.1,ENSMUSG00000051160,Olfr853,7,Olfr853
ENSPEMG00000003795,ENSPEMG00000003795.2,ENSMUSG00000041623,D11Wsu47e,8,D11Wsu47e
ENSPEMG00000025794,ENSPEMG00000025794.1,ENSMUSG00000096220,Olfr775,18,
ENSPEMG00000025794,ENSPEMG00000025794.1,ENSMUSG00000095483,Olfr776,18,
ENSPEMG00000025794,ENSPEMG00000025794.1,ENSMUSG00000096229,Olfr774,18,
ENSPEMG00000025794,ENSPEMG00000025794.1,ENSMUSG00000096497,Olfr787,18,
ENSPEMG00000002268,ENSPEMG00000002268.2,ENSMUSG00000087839,Gm23955,15,U6
ENSPEMG00000021299,ENSPEMG00000021299.2,ENSMUSG00000067173,Mrgpra4,1,
ENSPEMG00000021299,ENSPEMG00000021299.2,ENSMUSG00000050650,Mrgpra1,1,
ENSPEMG00000021299,ENSPEMG00000021299.2,ENSMUSG00000074111,Mrgpra9,1,
ENSPEMG00000021299,ENSPEMG00000021299.2,ENSMUSG00000078698,Mrgpra3,1,
ENSPEMG00000021299,ENSPEMG00000021299.2,ENSMUSG00000093973,Mrgpra2a,1,
ENSPEMG00000021299,ENSPEMG00000021299.2,ENSMUSG00000096719,Mrgpra2b,1,
ENSPEMG00000021299,ENSPEMG00000021299.2,ENSMUSG00000052303,Mrgpra6,1,
ENSPEMG00000020759,ENSPEMG00000020759.2,ENSMUSG00000042133,Ppig,4,Ppig
ENSPEMG00000028585,ENSPEMG00000028585.1,,,21,
ENSPEMG00000004246,ENSPEMG00000004246.2,ENSMUSG00000028830,AU040320,2,AU040320
ENSPEMG00000000761,ENSPEMG00000000761.2,ENSMUSG00000040147,Maob,X,Maob
ENSPEMG00000025740,ENSPEMG00000025740.1,ENSMUSG00000095667,Olfr854,7,
ENSPEMG00000025740,ENSPEMG00000025740.1,ENSMUSG00000094535,Olfr850,7,
ENSPEMG00000002720,ENSPEMG00000002720.2,ENSMUSG00000024713,Pcsk5,1,Pcsk5
ENSPEMG00000001466,ENSPEMG00000001466.2,,,19,SNORD58
ENSPEMG00000016905,ENSPEMG00000016905.2,ENSMUSG00000019432,Ddx39b,21,Ddx39b
ENSPEMG00000024190,ENSPEMG00000024190.2,ENSMUSG00000087075,Lbhd2,14,Lbhd2
ENSPEMG00000022426,ENSPEMG00000022426.2,,,1,
ENSPEMG00000019236,ENSPEMG00000019236.2,ENSMUSG00000039264,Gimap3,3,
ENSPEMG00000019236,ENSPEMG00000019236.2,ENSMUSG00000043505,Gimap5,3,
ENSPEMG00000024421,ENSPEMG00000024421.1,ENSMUSG00000096220,Olfr775,18,
ENSPEMG00000024421,ENSPEMG00000024421.1,ENSMUSG00000095483,Olfr776,18,
ENSPEMG00000024421,ENSPEMG00000024421.1,ENSMUSG00000096229,Olfr774,18,
ENSPEMG00000024421,ENSPEMG00000024421.1,ENSMUSG00000096497,Olfr787,18,
ENSPEMG00000019595,ENSPEMG00000019595.2,ENSMUSG00000027905,Ddx20,6,Ddx20
ENSPEMG00000028172,ENSPEMG00000028172.1,ENSMUSG00000090486,BC035947,3,
ENSPEMG00000012234,ENSPEMG00000012234.2,ENSMUSG00000028364,Tnc,2,Tnc
ENSPEMG00000011680,ENSPEMG00000011680.2,ENSMUSG00000018727,Cpsf4l,8,
ENSPEMG00000025828,ENSPEMG00000025828.1,ENSMUSG00000091381,Vmn2r83,1,
ENSPEMG00000025828,ENSPEMG00000025828.1,ENSMUSG00000091888,Vmn2r80,1,
ENSPEMG00000025828,ENSPEMG00000025828.1,ENSMUSG00000055515,Vmn2r81,1,
ENSPEMG00000025828,ENSPEMG00000025828.1,ENSMUSG00000091468,Vmn2r82,1,
ENSPEMG00000000012,ENSPEMG00000000012.2,ENSMUSG00000029199,Lias,10,Lias
ENSPEMG00000008614,ENSPEMG00000008614.2,ENSMUSG00000021671,Poc5,15,Poc5
ENSPEMG00000026742,ENSPEMG00000026742.1,ENSMUSG00000043087,Olfr855,7,Olfr855
ENSPEMG00000007208,ENSPEMG00000007208.2,ENSMUSG00000027531,Impa1,2,Impa1
ENSPEMG00000016514,ENSPEMG00000016514.2,ENSMUSG00000068008,Bpifb3,4,Bpifb3
ENSPEMG00000011004,ENSPEMG00000011004.2,ENSMUSG00000038650,Rnh1,1,Rnh1
ENSPEMG00000002217,ENSPEMG00000002217.2,,,X,U6
ENSPEMG00000027176,ENSPEMG00000027176.1,,,18,
ENSPEMG00000006944,ENSPEMG00000006944.2,ENSMUSG00000021280,Exoc3l4,14,Exoc3l4
ENSPEMG00000009738,ENSPEMG00000009738.2,ENSMUSG00000022884,Eif4a2,22,
ENSPEMG00000007777,ENSPEMG00000007777.2,ENSMUSG00000070552,Mrgprx1,1,Mrgprx1
ENSPEMG00000001520,ENSPEMG00000001520.2,ENSMUSG00000062328,Rpl17,19,Rpl17
ENSPEMG00000017236,ENSPEMG00000017236.2,ENSMUSG00000033210,Slc9c1,12,Slc9c1
ENSPEMG00000015541,ENSPEMG00000015541.2,ENSMUSG00000067430,Zfp763,22,Zfp763
ENSPEMG00000014576,ENSPEMG00000014576.2,ENSMUSG00000057551,Zfp317,7,Zfp317
ENSPEMG00000008974,ENSPEMG00000008974.2,ENSMUSG00000024190,Dusp1,8,Dusp1
ENSPEMG00000029256,ENSPEMG00000029256.1,,,8,
ENSPEMG00000026815,ENSPEMG00000026815.1,ENSMUSG00000019210,Atp6v1e1,9,
ENSPEMG00000018991,ENSPEMG00000018991.2,ENSMUSG00000066652,Lefty2,11,Lefty2
ENSPEMG00000031068,ENSPEMG00000031068.1,ENSMUSG00000079641,Rpl39,3,
ENSPEMG00000025280,ENSPEMG00000025280.1,,,22,U4
ENSPEMG00000001454,ENSPEMG00000001454.2,ENSMUSG00000064647,Gm23301,19,SNORD58
ENSPEMG00000012807,ENSPEMG00000012807.2,ENSMUSG00000030059,Tmf1,3,Tmf1
ENSPEMG00000013517,ENSPEMG00000013517.2,ENSMUSG00000029810,Tmem176b,3,Tmem176b
ENSPEMG00000010291,ENSPEMG00000010291.2,ENSMUSG00000024218,Taf11,3,
ENSPEMG00000030399,ENSPEMG00000030399.1,,,21,
ENSPEMG00000031092,ENSPEMG00000031092.1,ENSMUSG00000107662,Olfr772,18,
ENSPEMG00000031092,ENSPEMG00000031092.1,ENSMUSG00000096000,Olfr773,18,
ENSPEMG00000019773,ENSPEMG00000019773.2,ENSMUSG00000031262,Cenpi,X,Cenpi
ENSPEMG00000018355,ENSPEMG00000018355.2,ENSMUSG00000074102,Rbm15b,7,
ENSPEMG00000025785,ENSPEMG00000025785.1,ENSMUSG00000048458,Inka2,6,Inka2
ENSPEMG00000007930,ENSPEMG00000007930.2,ENSMUSG00002075663,5S_rRNA,9,5S_rRNA
ENSPEMG00000007930,ENSPEMG00000007930.2,ENSMUSG00002075974,5S_rRNA,9,5S_rRNA
ENSPEMG00000007930,ENSPEMG00000007930.2,ENSMUSG00002075945,5S_rRNA,9,5S_rRNA
ENSPEMG00000013029,ENSPEMG00000013029.2,ENSMUSG00000058921,Slc10a5,2,Slc10a5
ENSPEMG00000031053,ENSPEMG00000031053.1,ENSMUSG00000061367,Olfr771,18,Olfr771
ENSPEMG00000005192,ENSPEMG00000005192.2,ENSMUSG00000047117,Ankdd1b,15,Ankdd1b
ENSPEMG00000006224,ENSPEMG00000006224.2,,,21,U6
ENSPEMG00000026916,ENSPEMG00000026916.1,ENSMUSG00000047868,Olfr770,18,Olfr770
ENSPEMG00000024588,ENSPEMG00000024588.1,ENSMUSG00000039795,Zfand1,2,
ENSPEMG00000026302,ENSPEMG00000026302.1,ENSMUSG00000042801,Olfr769,18,Olfr769
ENSPEMG00000025968,ENSPEMG00000025968.1,,,1,
ENSPEMG00000031057,ENSPEMG00000031057.1,ENSMUSG00000040138,Ndp,X,Ndp
ENSPEMG00000028886,ENSPEMG00000028886.1,ENSMUSG00000050198,Olfr768,18,Olfr768
ENSPEMG00000011371,ENSPEMG00000011371.2,ENSMUSG00000001576,Ergic1,8,Ergic1
ENSPEMG00000003188,ENSPEMG00000003188.2,ENSMUSG00000065273,Gm25128,21,SNORD83
ENSPEMG00000001446,ENSPEMG00000001446.2,ENSMUSG00000064844,Gm26202,19,SNORD58
ENSPEMG00000017908,ENSPEMG00000017908.2,ENSMUSG00000053390,Zfp952,22,Zfp952
ENSPEMG00000018727,ENSPEMG00000018727.2,ENSMUSG00000026520,Pycr2,11,Pycr2
ENSPEMG00000008153,ENSPEMG00000008153.2,ENSMUSG00000074665,Bpifb4,4,Bpifb4
ENSPEMG00000029602,ENSPEMG00000029602.1,,,3,
ENSPEMG00000013136,ENSPEMG00000013136.2,ENSMUSG00000032575,Manf,7,Manf
ENSPEMG00000027247,ENSPEMG00000027247.1,ENSMUSG00000047108,Dnajb7,20,Dnajb7
ENSPEMG00000025988,ENSPEMG00000025988.1,ENSMUSG00000059762,Olfr767,18,
ENSPEMG00000025988,ENSPEMG00000025988.1,ENSMUSG00000056853,Olfr765,18,
ENSPEMG00000003167,ENSPEMG00000003167.2,ENSMUSG00000075770,Gm22589,21,SNORD83
ENSPEMG00000022163,ENSPEMG00000022163.2,ENSMUSG00000042446,Zmym4,2,Zmym4
ENSPEMG00000001431,ENSPEMG00000001431.2,ENSMUSG00000027536,Chmp4c,2,Chmp4c
ENSPEMG00000020896,ENSPEMG00000020896.2,ENSMUSG00000070883,Ccdc173,4,Ccdc173
ENSPEMG00000029683,ENSPEMG00000029683.1,ENSMUSG00000024403,Atp6v1g2,21,Atp6v1g2
ENSPEMG00000017598,ENSPEMG00000017598.2,ENSMUSG00000025038,Efhc2,X,Efhc2
ENSPEMG00000020826,ENSPEMG00000020826.2,ENSMUSG00000035765,Dym,19,Dym
ENSPEMG00000017201,ENSPEMG00000017201.2,ENSMUSG00000026336,Slco6d1,13,
ENSPEMG00000017201,ENSPEMG00000017201.2,ENSMUSG00000026331,Slco6c1,13,
ENSPEMG00000000939,ENSPEMG00000000939.2,ENSMUSG00000029201,Ugdh,10,Ugdh
ENSPEMG00000019237,ENSPEMG00000019237.2,ENSMUSG00000021668,Polk,15,Polk
